date,tweets,user,clean_text1
2016-10-30,"Orchard was mad ! See u tonite in Sumerta DPS . @DEVlLDICE  will put an end to ur weekend . Pic : @erickest .
#balitolakreklamasi #konsermini",JRX_SID,orchard mad tonite sumerta dps weekend
2016-10-24,"Konser mini #balitolakreklamasi yg dihadiri 1000 -an warga di Pemogan . 

Thanx @petdelonge u / foto , thanx @thebodyshopindo u / kulit sehatnya",JRX_SID,konser mini dihadiri onethousand warga pemogan foto kulit sehatnya
2016-10-24,"Semalam di konser mini #balitolakreklamasi yang dihadiri sekitar 1000 -an warga (not so mini , eh )<e2><80><a6>",JRX_SID,semalam konser mini dihadiri onethousand warga mini
2016-10-17,"Voice of the resistance ! Forever fire !

@devildice13 at @kutabeachfestival

Video : @ucok_olok
#BaliTolakReklamasi #kutabeachfestival2016",JRX_SID,voice resistance forever fire video
2016-10-17,"Thank you for the photo , @reksawirata !

#devildice #kutabeachfestival2016 #xRMBLx #balitolakreklamasi #takingourheartsbacktour2016",JRX_SID,photo
2016-10-11,"Repost from @forbali13 .

Bersatu kita teguh !

_

#BaliTolakReklamasi #BatalkanPerpreslimasatuThbjad #festivalnusapenida2016

Photo : @ucok_olok",JRX_SID,repost bersatu teguh photo
2016-10-11,"Repost from @forbali13 

Bersatu kita teguh !

_

#BaliTolakReklamasi #TolakReklamasiTelukBenoa <e2><80><a6>",JRX_SID,repost bersatu teguh
2016-10-10,"Gimme fuel , gimme fire , gimme that which I desire ! ~ M

Photo by @ucok_olok
#festivalnusapenida2016 #balitolakreklamasi #xRMBLx #dickies",JRX_SID,gimme fuel gimme fire gimme desire photo
2016-09-21,"Karena jadwal gig SID dipangkas terkait #BaliTolakReklamasi , saya jalani bisnis baru as a lynch mob . For real . Its pretty good money tho .",JRX_SID,jadwal gig sid dipangkas terkait jalani bisnis lynch mob real pretty money tho
2016-09-21,Kedamaian tanpa keadilan = ilusi terbesar peradaban . Jangan harap ada damai sebelum perpres limasatu /bjad dibatalkan . #BaliTolakReklamasi #Puputan,JRX_SID,kedamaian keadilan ilusi terbesar peradaban harap damai perpres limasatu bjad dibatalkan
2016-09-20,"Ya , @xRMBLx memang agak 'dijauhi ' karena keterlibatan kami yg intens dalam gerakan #balitolakreklamasi . Clothing ya mending jualan aja , aman",JRX_SID,dijauhi keterlibatan intens gerakan clothing mending jualan aman
2016-09-14,Meski sering demo #BaliTolakReklamasi tapi perawatan tubuh juga mesti dijaga . Been using these <e2><80><a6>,JRX_SID,demo perawatan tubuh mesti dijaga
2016-09-08,"Suara pembebasan dari Nusa Lembongan .

#SayaTolakReklamasi #BaliTolakReklamasi <e2><80><a6>",JRX_SID,suara pembebasan nusa lembongan
2016-09-04,Di tengah aksi 'pembungkaman ' terhadap #BaliTolakReklamasi (dilarang bicara BTR /memakai baju <e2><80><a6>,JRX_SID,aksi pembungkaman dilarang bicara btr memakai baju
2016-09-03,@DEVlLDICE dgn #BaliTolakReklamasi bergema di Ubud ! Tidak ada intel /tentara yg mengganggu kami .<e2><80><a6>,JRX_SID,bergema ubud intel tentara mengganggu
2016-08-30,Aspirasi rakyat yg tidak main -main untuk #BaliTolakReklamasi sejak hampir 4 tahun yg lalu <e2><80><a6>,JRX_SID,aspirasi rakyat main main
2016-08-25,Meski @sanurfestival tidak support #BaliTolakReklamasi tapi saya dan kawan -kawan ada di sini <e2><80><a6>,JRX_SID,dukung kawan kawan
2016-08-24,Sampai jumpa di Renon jam 2 siang ini di Renon bersama ribuan warga adat untuk aksi #BaliTolakReklamasi :),JRX_SID,jumpa renon jam siang renon ribuan warga adat aksi
2016-08-24,Salam #BaliTolakReklamasi mbak :) suwun .,JRX_SID,salam suwun
2016-08-24,"Kaos #BaliTolakReklamasi sudah tersedia di @rumble_empire Teuku Umar , Denpasar . Tidak , toko kami <e2><80><a6>",JRX_SID,kaos tersedia teuku umar denpasar toko
2016-08-15,"Inilah salah satu bentuk 'pembunuhan ' thd gerakan #BaliTolakReklamasi , sebuah gerakan rakyat <e2><80><a6>",JRX_SID,salah bentuk pembunuhan gerakan gerakan rakyat
2016-08-10,"Takut jadi kampanye #BaliTolakReklamasi , mungkin :)",JRX_SID,takut kampanye
2016-07-16,Sampai jumpa besok bersama @SID_Official dalam deklarasi desa adat Sanur #balitolakreklamasi !     by @guswib,JRX_SID,jumpa besok deklarasi desa adat sanur
2017-12-28,"Incredibly humbled by last night 's  &  at PRJ Kemayoran . One of the best SID gig this year !

Shots : @ucok_olok
#sid #kutarockcity #punkrock #outsiders #ladyrose #xrmblx #dickies #vans #nixon #premierdrums #paistecymbals #vaterdrumsticks #evansdrumheads #balitolakreklamasi",JRX_SID,incredibly humbled night prj kemayoran sid gig shots
2017-12-09,"Hari ini . Yuk @taman_baca Kesiman saya dan @BonoSony on stage 3 pm . Merayakan hari HAM internasional . Gratis .

Shot by @ucok_olok
#jrxsonyb #duocoustic #tamanbacakesiman #amnestyinternational #balitolakreklamasi",JRX_SID,ayo kesiman stage pm merayakan ham internasional gratis shot
2017-12-09,"Semakin ada yg memecah belah kami . Semakin kami kuat dan bersatu . 

#dongoman #queenofalcohol #pantantri #sanur #localbusiness #arakbali #cumisunecekuh #sanurkutabersatu #balitolakreklamasi",JRX_SID,memecah belah kuat bersatu
2017-12-02,"Parade budaya Bali Tolak Reklamasi Teluk Benoa siang tadi . Beautiful .

Shot by @pande_dodik_sukadana

#balitolakreklamasi #batalkanperpresnolimasatuthbjad #love #rage #resistance",JRX_SID,parade budaya bali tolak reklamasi teluk benoa siang beautiful shot
2017-12-02,"Start 6 pagi , beres 6 sore . Pembuatan 9 unit MCK darurat di 3 titik shelter pengungsi Gunung Agung . Walau sedikit , semoga membantu 

#xrmblx #rumblegirl #rumahsanur #umaseminyak #archimetriz #ecofriendlytoilet #balitolakreklamasi #sakitbangkiang",JRX_SID,start pagi beres sore pembuatan unit mck darurat titik shelter pengungsi gunung agung semoga membantu
2017-12-01,"Yang sedang tidak membangun toilet darurat untuk pengungsi Gunung Agung , datang ke sini ya . Jaga api ini seabadi mungkin !

#balitolakreklamasi #love #rage #resistance #bali",JRX_SID,membangun toilet darurat pengungsi gunung agung jaga api seabadi
2017-11-26,"Undiksha Singaraja see you tonight ! Me and @BonoSony will be on stage 7 pm .

Selain kami , juga ada reggae warriors Rastafara Cetamol .

Shot by @guswib
#jrxsonyb #duocoustic #balitolakreklamasi",JRX_SID,undiksha singaraja tonight stage pm reggae warriors rastafara cetamol shot
2017-11-19,"Meeting dan diskusi politik yang menarik bersama LPM dan Bendesa Desa Adat Kuta .

#kutarockcity #balitolakreklamasi",JRX_SID,meeting diskusi politik menarik lpm bendesa desa adat kuta
2017-10-24,"Power !  

Shot by @hadhikusuma
#sid #balitolakreklamasi #batalkanperpreslimasatuthbjad",JRX_SID,power shot
